week,2011,2012,2013,2014,2015,med,avg,max
1,0.359477124,0.019607843,0.29787234,0.065217391,0.361344538,0.29787234,0.220703847,0.361344538
2,0.403225806,0.015384615,0.254098361,0.063492063,0.160756501,0.160756501,0.179391469,0.403225806
3,0.398230088,0,0.294871795,0.108843537,0.138461538,0.138461538,0.188081392,0.398230088
4,0.425925926,0.028571429,0.14893617,0.116788321,0.142394822,0.142394822,0.172523334,0.425925926
5,0.427745665,0.044117647,0.0875,0.060606061,0.1375,0.0875,0.151493875,0.427745665
6,0.364864865,0.179104478,0.043010753,0.037037037,0.146417445,0.146417445,0.154086916,0.364864865
7,0.339805825,0.055555556,0.042857143,0.04587156,0.115068493,0.055555556,0.119831715,0.339805825
8,0.291390728,0.12195122,0.016393443,0.025974026,0.113924051,0.113924051,0.113926694,0.291390728
9,0.270491803,0.170454545,0.085714286,0.027027027,0.120521173,0.120521173,0.134841767,0.270491803
10,0.247787611,0.174418605,0.013513514,0.028037383,0.163265306,0.163265306,0.125404484,0.247787611
11,0.175,0.147058824,0.048387097,0.06,0.121771218,0.121771218,0.110443428,0.175
12,0.15,0.168674699,0.015625,0.031914894,0.111111111,0.111111111,0.095465141,0.168674699
13,0.077922078,0.2375,0.104166667,0.046511628,0.098130841,0.098130841,0.112846243,0.2375
14,0.12,0.076923077,0,0.03125,0.035714286,0.035714286,0.052777473,0.12
15,0,0.095238095,0.014705882,0.015151515,0.053435115,0.015151515,0.035706121,0.095238095
16,0,0.034482759,0.025974026,0.024390244,0.028985507,0.025974026,0.022766507,0.034482759
17,0,0.015384615,0,0,0,0,0.003076923,0.015384615
18,0,0.04,0,0.03125,0.010204082,0.010204082,0.016290816,0.04
19,0.022222222,0.111111111,0,0,0,0,0.026666667,0.111111111
20,0,0.054545455,0,0.01754386,0,0,0.014417863,0.054545455
21,0,0.090909091,0.024242424,0,0,0,0.023030303,0.090909091
22,0,0.022222222,0.0625,0.032786885,0,0.022222222,0.023501821,0.0625
23,0,0,0,0.019230769,0,0,0.003846154,0.019230769
24,0,0.020408163,0.054545455,0,0,0,0.014990724,0.054545455
25,0,0,0,0,0,0,0,0
26,0,0,0.02173913,0,0,0,0.004347826,0.02173913
27,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0
36,0,0,0,0,0.078947368,0,0.015789474,0.078947368
37,0,0.022222222,0,0,0.05,0,0.014444444,0.05
38,0,0.017857143,0,0,0,0,0.003571429,0.017857143
39,0,0.018518519,0,0,0,0,0.003703704,0.018518519
40,0,0.037735849,0.7,0,0,0,0.14754717,0.7
41,0,0.016949153,0.466666667,0.020618557,0,0.016949153,0.100846875,0.466666667
42,0,0.048780488,0,0,0,0,0.009756098,0.048780488
43,0,0.032258065,0,0.016393443,0,0,0.009730302,0.032258065
44,0,0.054545455,0.466666667,0.043165468,0,0.043165468,0.112875518,0.466666667
45,0,0.104477612,0.529411765,0,0,0,0.126777875,0.529411765
46,0,0.188405797,0,0.029411765,0,0,0.043563512,0.188405797
47,0,0.265822785,0.304347826,0.028571429,0,0.028571429,0.119748408,0.304347826
48,0,0.151162791,0.285714286,0.093333333,0,0.093333333,0.106042082,0.285714286
49,0.020833333,0.35042735,0.090909091,0.096,0,0.090909091,0.111633955,0.35042735
50,0,0.448863636,0.157894737,0.151041667,0,0.151041667,0.151560008,0.448863636
51,0,0.446540881,0.096491228,0.17535545,0,0.096491228,0.143677512,0.446540881
52,0,0.40625,0,0.338329764,0,0,0.148915953,0.40625
